epoch,train_acc,test_acc,train_loss,test_loss
256,0.92868000,0.74990000,0.20574220,1.03332815
257,0.92928000,0.73340000,0.20271488,1.05339085
258,0.93246000,0.75070000,0.19510468,0.97523732
259,0.93122000,0.73930000,0.19613032,1.10683650
260,0.93256000,0.73050000,0.19370152,1.18211248
261,0.93394000,0.74610000,0.19224966,1.03550675
262,0.93268000,0.75510000,0.19300333,0.98597209
263,0.93294000,0.75430000,0.19031673,1.00635212
264,0.93566000,0.75770000,0.18749698,0.95843099
265,0.93702000,0.75880000,0.18179699,1.01326760
266,0.93730000,0.74860000,0.18147551,1.08186166
267,0.93690000,0.76180000,0.18331125,0.97541055
268,0.93848000,0.75980000,0.17771496,0.98166066
269,0.93792000,0.74340000,0.17893056,1.04903494
270,0.93774000,0.75580000,0.18096030,0.97016648
271,0.93922000,0.74180000,0.17249052,1.11027556
272,0.93900000,0.75090000,0.17736769,1.00657625
273,0.93956000,0.75340000,0.17653054,1.01005306
274,0.93914000,0.75200000,0.17604036,1.02191597
275,0.94096000,0.75170000,0.17053677,1.00778827
276,0.94130000,0.75630000,0.16766584,1.01077954
277,0.94142000,0.76160000,0.16814978,0.97888379
278,0.94164000,0.75270000,0.16778002,1.01662078
279,0.94062000,0.75740000,0.17131029,0.98766270
280,0.94316000,0.75910000,0.16397181,0.99435450
281,0.94270000,0.76090000,0.16527626,0.98080875
282,0.94308000,0.76040000,0.16613454,0.98466191
283,0.94198000,0.75300000,0.16647927,1.03365217
284,0.94438000,0.75850000,0.16218977,1.00077255
285,0.94314000,0.75900000,0.16428773,1.02727444
286,0.94460000,0.76090000,0.16160260,1.00633846
287,0.94512000,0.75890000,0.16035987,1.00388039
288,0.94346000,0.76070000,0.16318459,1.00554380
289,0.94558000,0.76220000,0.15838587,1.00662956
290,0.94686000,0.76080000,0.15635877,1.00951556
291,0.94434000,0.75760000,0.16105366,1.01615260
292,0.94488000,0.76010000,0.16165715,1.02005039
293,0.94620000,0.76280000,0.15596403,1.02108490
294,0.94522000,0.75880000,0.16055089,1.01347554
295,0.94530000,0.75970000,0.15922745,1.02848397
296,0.94542000,0.75910000,0.15799688,1.01228831
297,0.94584000,0.76260000,0.15908661,0.99798218
298,0.94618000,0.75970000,0.15738629,1.02798153
299,0.94408000,0.75950000,0.16072987,1.00850907
300,0.94500000,0.75880000,0.15964447,1.01114265
